title_en,title_ru,color,aroma,max_bush_height,min_bush_height,max_number_flawers,min_number_flawers,max_size_number,min_size_number,rain_resistance,powdery_mildew_resistance,black_spot_resistance,description,greenhouse,category,in_stock,slug
Gertrude Jekyll,Гертруда Джекилл,,,,,,,,,,,,                       ,,anglijskie_rozy,yes,gertruda-dzhekill
,Голден Селебрейшен,Желтый,Сильный,150,120,5,3,16,14,сильная,сильная,сильная,"                        У этой розы гигантские, шаровидные цветки на элегантно поникающих ветвях. Цвет медно-желтый, необычный для английских роз. Если ближе рассмотреть лепестки, видно, что эффект создается за счет множества мелких розовых точек на глубоком желтом фоне. Запах сильный. Значительная устойчивость к заболеваниям. Превосходный сорт во всех отношениях, соединяющий в себе красоту,силу и элегантность. Один из лучших сортов Остина. Быстро растет и вырастает в крупный куст. При хорошем уходе цветет обильно. Цветки густомахровые. В жарком климате может выращиваться как невысокая плетистая роза. Великолепные цветки этой изумительной английской розы сочетают старинную форму с вполне современной окраской. Желтые с красным бутоны распускаются в густомахровые цветки 8-14 см в диаметре, с внутренними лепестками, образующими чашевидную форму, и отогнутыми внешними. Цвет обычно насыщенно яично-желтый, но могут появляться и персиковые или розовые тона, создавая медно-желтый оттенок. Цветки появляются в небольших кистях, часто поникают. Аромат легкий или средний, его описывают как пряный или фруктовый. Обильно цветет ранним летом, затем следуют быстро повторяющиеся волны повторного цветения до конца сезона. Побеги слегка или умеренно колючие, дуговидные, с блестящей ярко-зеленой листвой. Куст округлый, раскидистый, достигает 120-150 см высотой и столько же шириной в самом холодном климате, и до 180-200 см в жарких странах.",,anglijskie_rozy,yes,golden-selebreyshen
,Грейс,Абрикосовый,Средний,120,100,5,3,10,8,сильная,средняя,средняя,"                        Ароматная роза с цветками абрикосовых тонов. Цветки диаметром 8-10 см, густомахровые, более темные в центре и бледнеющие по краям. Вначале цветения цветки чашевидные, но затем широко раскрываются и формируют розетку с вывернутыми наружу внешними лепестками так, что цветки начинают напоминать георгины. Аромат сладкий, средней интенсивности. Цветение обильное, повторное. Куст хорошо ветвящийся, с листвой, имеющей высокую устойчивость к заболеваниям.                    ","Austin Великобритания, 2001",anglijskie_rozy,yes,greys
,Грехем Томас,Желтый,сильный,120,70,5,3,12,10,средняя,сильная,сильная,"Розу Грехем Томас стоит только один раз увидеть, чтобы навсегда остаться преданным этой дивной красоте. У этого саженца одни из самых утонченных цветков среди английских роз. Цвет абрикосово-желтый, лепестки имеют мягкую, сияющую фактуру – характеристика нуазетовых роз, которая была унаследована этим сортом. Цветки имеют форму идеальных розеток. Куст изящный, довольно прямостоячий. Пахнет чайными розами, с тонами сирени. К сожалению, бутоны иногла портятся дождем. При правильной обрезке куст достигает средней высоты. ",,anglijskie_rozy,yes,Grehem-tomas
,Дарси,Малиновый,Слабый ,70,50,,1,10,8,сильная,сильная,сильная,                       ,,anglijskie_rozy,yes,darsi
,Дарси Басселл,Малиновый,Средний,100,80,5,3,12,10,сильная,сильная,сильная,"                        В роспуске внешние лепестки каждого цветка образуют идеальное кольцо вокруг внутренней чашки, постепенно открываются, образуя идеальную розетку среднего размера. Цвет - глубокий, богатый малиновый, приобретающий лиловый оттенок перед тем, как роза отцветает и опадают лепестки. Есть приятный легкий фруктовый аромат. Цветение в соцветиях обильное, практически непрерывное. Куст густой, компактный, высотой до 120 см, шириной 100 см, с матовой зеленой листвой.                    ","Austin Великобритания, 2006",anglijskie_rozy,yes,darsi-bassell
,Дездемона,Кремовые,Сильный,120,100,3,1,10,8,сильная,сильная,сильная,"                        Изысканно красивая роза Дездемона Desdemona селекции David Austin 2015, с необычайно длительным периодом цветения.Бутоны теплого персиково розового цвета при раскрытии образуют чашеобразные цветы чистого белого цвета с лёгким намеком, особенно на ранней стадии цветения, на сливочно-розовые оттенки. Сложение цветка чашеобразной формы с вогнутыми лепестками создает захватывающую игру света и тени. Со временем цветок раскрывается немного шире, чтобы мельком увидеть внутри блеск красивых тычинок. Цветы сохраняют свою форму при влажной погоде и имеют сильный аромат старой розы (Old Rose и миндаля с оттенками свежести и лимонной цедры . Цветение в небольших соцветиях, повторное, обильное и длительное. Куст аккуратный, округлый , компактный, 105 х105 см. с густой глянцевой , плотной тёмно-зелёной листвой. Сорт сильный , с очень высокой устойчивостью к заболеваниям. Можно использовать в бордере чисто из роз, учитывая его долгий срок цветения, также идеально подходит для комбинирования с другими кустами и многолетниками в миксбордере.                     ","David Austin Великобритания, 2015",anglijskie_rozy,yes,dezdemona
,Джейн Остин,Желтый,Сильный,120,100,5,3,10,8,слабая,средняя,средняя,"                        Флорибуна с оранжевыми цветами, с желтыми оттенками на обратной стороне лепестков и интенсивным, сладким ароматом. Цветение в кистях по 3-7 шт., повторное, весь сезон. Куст ветвистый, с тёмно-зелёной листвой, устойчивой к заболеваниям.","Austin, 1990",anglijskie_rozy,yes,dzheyn-ostin
,Джентл Гермион,Розовый,Средний,120,100,3,1,10,8,средняя,сильная,сильная,"                        Цветки нежно-розовых оттенков, по мере роспуска бледнеют по краям, с классическим ароматом розового масла с нотками мирры. Цветение повторное, обильное (взрослое растение может цвести почти без перерыва весь сезон). Куст густой, со временем становится все более широким, листва темно-зеленая (молодая с красноватым оттенком), высокоустойчивая к болезням.                    ","Austin, 2005",anglijskie_rozy,yes,dzhentl-germion
,Джубили Селебрейшен,,Сильный,110,110,3,1,10,8,сильная,сильная,сильная,"                        Английская кустовая роза селекции Дэвида Остина . Крупные, куполообразные, кораллово-розовые цветки с золотисто-жёлтым оттенком на нижней стороне лепестков элегантно держатся над листвой на изящном кусте. Размер куста 120х120 см. Цветки диаметром 8 -10 см, густомахровые (90-100 лепестков), по 1-3 на цветоносе. Аромат исключительный, фруктовый, с нотками лимона и малины. Цветёт непрерывно с июня до сентября. Сорт устойчивый к мучнистой росе и чёрной пятнистости. Листва глянцевая, большая, средне-зелёная, молодая – красная.",,anglijskie_rozy,yes,dzhubili-selebreyshen-
,Джуд зе Обскур,Желтый,Очень сильный,120,100,3,1,14,12,слабая,средняя,средняя,"                        Очень ароматная роза с изумительными по форме и цвету цветками. Цветки крупные, шаровидной формы, с множеством нежно-желтых лепестков, более темных в центре и бледнеющим к краю цветка. Аромат очень сильный, приятный и необычный. Цветение повторное, обильное, поодиночке и в небольших соцветиях. Дождь переносит плохо: цветки повреждаются, а бутоны могут вообще не раскрыться. Куст ветвистый, с колючими и гибкими поникающими побегами.",Austin Великобритания,anglijskie_rozy,yes,dzhud-ze-obskur
Eugenie,Евгения,,,,,,,,,,,,                       ,,anglijskie_rozy,yes,evgeniya
,Зе Алнвик Роз,Розовый,Средний,130,110,8,3,10,8,сильная,сильная,сильная,"                        Английская кустовая роза The Alnwick Rose, селекции Дэвида Остина (David Austin) обильно цветущая довольно густомахровыми, чашевидными цветками нежно-розового цвета. Цветение в соцветиях, цветки смотрят вверх. Диаметр цветка 7-9 см. Аромат средней силы, насыщенный, старой Розы с нотками малины. Цветет волнами с начала лета до первых заморозков. Куст высотой 120см, шириной 90см, красиво округлый, слегка прямостоячий с обильной, глянцевой зеленой листвой. Устойчивость к заболеваниям очень хорошая, не болеет. ","Austin, Великобритания, 2001",anglijskie_rozy,yes,ze-alnvik-roz
,Зе Веджвуд Роуз,Розовый,Сильный,150,130,3,1,10,8,сильная,сильная,сильная,"                        Красивое цветение цветами от среднего до крупного размера. Лепестки нежные, похожие качеством на паутинку; цвет мягко розовый чем добавляется эффект очарования старинной английской розы . От внешних лепестков розы исходит прекрасный фруктовый аромат , с переходом в гвоздичный аромат к центру цветка, что очень полезно для здоровья. Куст сильнорослый 150 см высотой , 120 см шириной, с темно зеленой глянцевой листвой, исключительно энергичного роста в стиле старинных роз,предпочитает солнечные участки .",,anglijskie_rozy,yes,ze-vedzhvud-rouz
The Mill on the Floss,Зе Милл он зе Флосс,,,,,,,,,,,,                       ,,anglijskie_rozy,yes,ze-mill-on-ze-floss
The Pilgrim,Зе Пилгрим,Желтый,Средний,360,80,3,1,8,6,слабая,средняя,средняя,"                        Это одна из самых надежных и красивых желтых английских роз. Часто желтые цвета у роз бывают излишне резкими, и вследствие этого их сложно разместить в саду или в доме. С The Pilgrim такой проблемы не возникнет. Его нежные шелковистые цветки очень мягкого желтого цвета, идеальной формы розетки, с многочисленными мелкими лепестками, которые усиливают общую изысканность цветка. Внутренние лепестки чисто желтые, внешние практически белые. Несмотря на свои утонченные цветки, это очень выносливая роза, сильнорослая и обильно цветущая. Куст прямостоячий, листья блестящие.",,anglijskie_rozy,yes,The_Pilgrim
The Prince,Зе Принц,Малиновый,средний,75,60,5,3,8,5,средняя,средняя,средняя,"Роза Зе Принс -  роза великолепной окраски, только что раскрывшиея цветки очень насыщенного темного красного цвета, который очень быстро сменяется не менее насыщенным и великолепным пурпурно-лиловым. Этот последний цвет уникален, среди современных роз сортов такой окраски больше нет; более того, Грэхем Томас считал, что The Prince первый сорт такого цвета с 1840 года. Это тот пурпурный цвет, который можно увидеть у сортов галльских роз (R. Gallica), и он полностью отличается от металлического сиреневого цвета современных роз. Очень сильный запах розового масла. Цветок в форме розетки, в конце цветения лепестки отгибаются вниз. Куст низкий, раскидистый, и таким образом сорт хорошо подходит для переднего плана бордера. Листва темная. современного вида. Хотя желательно было, чтобы роза имела более мощный куст, The Prince нельзя отнести к слабым сортам.  Купить саженцы роз Зе Принс в Москве можно, нажав кнопку ""в корзину"". ",,anglijskie_rozy,yes,ze-prins
,Зе Эншент Маринэ,Розовый,Средний,,150,5,3,12,10,средняя,средняя,средняя,"                        Цветки густомахровые, диаметром 10-12 см, перламутрово-розовые с сиреневым оттенком ближе к центру и с более светлыми внешними лепестками. При полном раскрытии цветок может показывать серединку с золотистыми тычинками. Аромат насыщенный, мирры. Цветение в небольших соцветиях, обильное, повторное. Листва темно-зеленая, кожистая, полуглянцевая, с высокой устойчивостью к болезням.","David Austin Великобритания, 2015",anglijskie_rozy,yes,ze-enshent-marine
Claire Rose,Клер Роуз,Розовый,сильный,150,130,5,3,11,10,слабая,средняя,средняя," Нежная и чарующая Клер Роуз (Claire Rose) – красивая, традиционного облика английская роза – густомахровая, нежной окраски. Цветки слегка неопрятные, с массой мелких волнистых лепестков. Появляются иногда по одному, но обычно в кистях до 5 шт. Цвет всегда темнее в центре цветка, где тени между лепестками придают бутону темный розовый оттенок. Великолепны для составления букетов, идеально будут смотреться также в качестве свадебного украшения. Куст довольно сильнорослый, в жарком климате достигает 2,5 м, хорошо отзывается на пришпиливание побегов к земле. ",,anglijskie_rozy,yes,kler-roza-claire-rose
,Клэр Остин,Кремовые,Сильный,200,150,4,2,10,8,сильная,сильная,сильная,"                        Есть что-то особенное в белых розах - они все чисты и легки и хороши в действительности. Белые розы - редкость среди английских роз и гибридных чайных роз, потому что белые розы очень сложно разводить. У 'Claire Austin' приятные плотные бледно-лимонного оттенка бутоны, которые постепенно раскрываются в большие, кремово-белые цветы с деликатным типично английским ароматом мускуса; ее лепестки идеально расположены в концентрических кругах, с несколько более свободным расположением в центре. Запах становится сильнее с благоуханием основанном на мирре с нотками meadowsweet, ванили и хелиотропа. Сорт сильнорослый , может достигать 180 см в высоту, с особенной устойчивостью к заболеваниям . Несомненно, сорт один из лучших белых роз на сегодняшний день.",,anglijskie_rozy,yes,kler-ostin
Crown Princess Margaretha,Краун Принцесса Маргарет,Оранжевый,средний,180,150,5,3,12,10,средняя,сильная,сильная," Недаром этот изысканный сорт саженцев роз назвали Принцесса Маргарет, ведь крупные величавые бутоны достойны называться только королевскими именами! Приобретая данный сорт, Вы получаете куст с изящно поникающими побегами, который идеально подходит для заднего плана бордера. Цветки, как уже упоминалось выше, довольно крупные, в форме розетки, абрикосово-оранжевого цвета. Относится к группе Leander (наиболее выносливая и здоровая группа сортов английских роз). Как показывает практика, роза сможет выжить даже в самых жёстких условиях.   ",,anglijskie_rozy,yes,crown-princess-margaretha
,Кристофер Марлоу,,Средний,90,70,3,1,10,8,сильная,сильная,сильная,"                        Сорт с необычной для английских роз окраской цветков - внутренние лепестки у них интенсивного лососево-розового цвета изнутри и золотисто-желтые с розовым оттенком снаружи, что в целом создает красивый двухцветный эффект. Аромат - розовое масло с намеком на лимон. Цветение в соцветиях, повторное, почти непрерывное, весь сезон. Куст густой, раскидистый, листва мелкая, средне-зеленая, блестящая, устойчивая к болезням.",,anglijskie_rozy,yes,kristofer-marlou
Crocus Rose,Крокус роуз,Белый,слабый,120,100,5,3,12,10,средняя,средняя,сильная,"Саженцы Крокус Роуз всегда будут популярными среди садоводов, ведь белые розы никогда не выйдут из моды! Очень устойчивая и обильноцветущая роза с крупными, розетковидными цветками, в начале цветения слегка чашевидными, позже лепестки отгибаются вниз. Цвет нежно-абрикосовый, бледнеющий до кремового по краям. Цветет очень обильно, крупными кистями на концах слегка изогнутых побегов. Приятно пахнет чайной розой. Постепенно вырастает в густой и исключительно сильный куст. Цветки немного больше средних и равномерно распределены по всему кусту.",,anglijskie_rozy,yes,krokuc-rouz-crocus-rose
,Кэри,Розовый,Сильный,120,100,,1,10,9,средняя,слабая,слабая,"                        Свадебная роза Кэри - харизматическая роза, излучающая природную красоту и красиво сочетающаяся как в букете, так и просто в саду с многолетними цветами, травами и просто листвой. Цветки чашевидные квартированные , густомахровые (более 90 лепестков) , мягких естественных природных розовых и лавандово сиреневых оттенков . Умеренный розовый аромат отличается нотами фруктов и чая с оттенками грейпфрута, кедрового дерева и мускуса. Цветки элегантно держатся на длинных и сильных стеблях. Цветки от среднего до крупного размером от 8 см. Кэри - настоящая романтического вида , неподвластная времени, старомодная английская роза.",David C. H. Austin Великобритания,anglijskie_rozy,yes,keri
Lady of Shalott,Леди оф Шалотт,,средний,120,100,3,1,10,8,слабая,сильная,сильная,"                        Эта роза видимо станет одной из самых выносливых и морозостойких роз в нашей коллекции. Также она отличается прекрасной устойчивостью к заболеваниям, и необычно длительным цветением в течение всего сезона. Таким образом, это идеальный сорт для неопытного розовода. Бутоны ярко-оранжево-красные. Они распускаются в чашевидные густомахровые цветки. Каждый лепесток лососево-розовый с красиво контрастирующей золотисто-желтой изнанкой. Благодаря чашевидной форме изнанка хорошо видна, а в сердце цветка играют более глубокие тона. Аромат теплый, насыщенный, чайный с оттенками яблок и гвоздики. Lady Of Shalott быстро вырастает в крупный ветвистый куст, со слегка поникающими побегами. Молодая листва имеет бронзовый оттенок. ",,anglijskie_rozy,yes,ledi-of-shalott
,Личфилд Энджел,Кремовые,Слабый,130,120,3,1,10,8,слабая,сильная,сильная,"                        Классическая английская роза селекции Остина. Бутоны персиково-розовые; раскрываясь, они превращаются сначала в чашевидные розетки из плотных (""восковых"") лепестков кремово-абрикосовых оттенков. По мере раскрытия цветка его более крупные внешние лепестки отгибаются вниз, создавая в итоге крупный кремово-белый помпон. Аромат легкий, приятный. Цветок держится довольно долго (около недели), цветение повторное. Куст большой, округлой формы, с чуть поникающими малошипными ветвями.",Austin,anglijskie_rozy,yes,lichfild-endzhel
,Миранда,Розовый,Слабый,120,100,,1,12,9,средняя,средняя,средняя,"                        Богатая и декадентская, Миранда любит привлекать внимание в любой обстановке. Цветок светло-розовый с густыми приподнятыми лепестками двухцветного оттенка сахарного миндаля и богатым декадентским центром светло вишневого цвета с более мягкого розового тона внешними краями. Внешние лепестки цветка в форме чашевидной розетки покрыты естественными зелеными прожилками, постепенно разворачиваются и складываются назад, становясь скрытыми при раскрытии цветка Миранды. Цветы средние и крупные, густомахровые (120 лепестков). Цветение волнами в течение всего сезона. Аромат нежный фруктовый с оттенками весенних цветов. Интенсивность аромата 2 из 5 баллов. Куст узкий, густой , разветвленный, с крупной, полупрозрачной листвой.","Austin, Великобритания, 2005",anglijskie_rozy,yes,miranda
,Мэри Роуз,Розовый,Слабый,120,100,5,3,12,10,средняя,средняя,средняя,"                        Mary Rose (Мэри роуз ) – подлинная английская роза с изящными чашевидной формы старинных роз цветками и сильным ароматом. Цветы ярко-розовые , с более бледной изнанкой, хорошо выраженной сердцевиной и волнистыми лепестками. Ее цветки некрупные в диаметре 7 - 8 см на стадии полного роспуска, Внешние лепестки со временем отгибаются и выгорают до бледно-розовых, а внутренние остаются загнутыми к центру. Декоративный привлекательный вид придают розе кистевидные соцветия , состоящие из 3–7 цветков. У полностью раскрывшихся цветков видна серединка. Сорт отличается очень продолжительным и рано начинающимся волнообразным цветением, практически без перерывов между волнами цветения . Роза зацветает одной из первых и отцветает последней.",Austin Великобритания,anglijskie_rozy,yes,meri-rouz
,Олбрайтон Рамблер,Розовый,Средний,,365,5,3,10,8,средняя,средняя,средняя,"                        Саженцы розы кустовой The Albrighton Rambler не требовательны в уходе, но при этом радуют обильным и продолжительным цветением. Разрастаются кустарники в высоту до двух-трех метров, поэтому иногда нуждается в опорах. Цветочки нежнейшего розового цвета состоят из большого числа лепестков, которые напоминают пачку балерины. Смотрится цветущая роза кустовая The Albrighton Rambler очень эффектно. Одно из главных преимуществ сорта – легкий мускусный аромат, который сопровождает все цветение.                    ","David Austin Великобритания, 2013",anglijskie_rozy,yes,olbrayton-rambler
,Оливия Роуз,Розовый,Сильный,,90,3,1,9,8,средняя,сильная,сильная,"                        Роза с махровыми цветками в форме красивых чашевидных розеток диаметром 8-10 см. Цветки равномерного светло-розового цвета, с очень приятным, насыщенным ароматом с фруктовыми нотками. Начало цветения раннее. Цветение повторное. Листва темно-зеленая, глянцевая, с высокой устойчивостью к болезням. На конкурсе Американского общества розоводов (ARS) признана лучшей розой 2020 года.","David C. H. Austin Великобритания, 2014",anglijskie_rozy,yes,oliviya-rouz
,Пейшэнс,Кремовые,Сильный,,120,5,3,10,8,сильная,сильная,сильная,"                        Классическая и естественная красота розы сорта Patience , в переводе ""Терпение"" покорила сердца многих невест. Ее чистая простота и изысканность идеально подходят для любого шикарного случая. ""Терпение"" источает легкую элегантность. Очаровательные молочные бутоны раскрываются в чашевидные цветки как будто вырезанные из слоновой кости, с тонкими кружевными лепестками легкого сливочно -желтого цвета, с кремовым оттенком в центре. Аромат интенсивный , чистый старой розы, с оттенками лимона. Patience, роза с цветками спокойного цвета, и чтобы оттенить кремово-белый классический облик розы в композициях хорошо использовать каскадную листву, стильную керамику и акцентами из мрамора. Роза Patience хорошо сочетается с сортами Джульет, Беатрис или Эдит (JULIET, BEATRICE или EDITH). Восхитительная сливочно кремовая роза с лепестками, напоминающая тонкое кружево. Кремово-желтые заостренные яйцевидные бутоны постепенно полностью раскрываются, образуя идеальные, старинной формы, плоские, оборчатые розетки с классическим глазком-пуговицей. Цветок среднего размера, густо махровый от 160 до 170 лепестков, диаметр в среднем 8 см. Аромат свежий старой розы с элементами фруктов, сирени и мирры, начинается со средней силы, но смягчается с возрастом цветения, развивая лимонные нотки. Интенсивность аромата 4 балла из 5. Цветение небольшими соцветиями, количество соцветий на ветке 3-5. Непрерывное цветение в течение всего сезона. Высота куста до 120 см.                    ","David Austin, до 2012 Великобритания",anglijskie_rozy,yes,peyshens
,Порт Санлайт,Абрикосовый,Средний,150,130,3,1,10,8,сильная,сильная,сильная,"                        Цветки диаметром 7-8 см, насыщенного абрикосового цвета, розетковидные, квартированные, с насыщенным ароматом чайной розы. Цветение поодиночке и в небольших соцветиях, повторное. Куст прямостоячий, листва темно-зеленая (молодая листва и побеги бронзово-красные), с высокой устойчивостью к болезням.","Austin, Великобритания, 2007",anglijskie_rozy,yes,port-sanlayt
,Принцесса Александра оф Кент,Розовый,Сильный,150,130,3,1,12,10,сильная,сильная,сильная,"                        Роза с крупными (до 12 см в диаметре) густомахровыми глубоко чашевидными цветками теплого розового цвета, с внешними лепестками более светлой тональности. Аромат в начальной стадии цветения классический, чайный, но по мере староения цветка к нему добавляются нотки лимона и черной смородины. Цветение в соцветиях, обильное, повторное, весь сезон. Куст раскидистый, ветвистый, с листвой, устойчивой к заболеваниям.","Austin, Великобритания, 2007",anglijskie_rozy,yes,printsessa-aleksandra-of-kent
